Chapter,Section,Sub-Section,Block,Paragraph,Classifications,Compliance,CID,ControlText
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Media that cannot be sanitised",13.4.10.C.01.,"All Classifications",Must,4176,"Agencies MUST destroy the following media types prior to disposal, as they cannot be effectively sanitised:

microfiche;
microfilm;
optical discs;
printer ribbons and the impact surface facing the platen;
programmable read-only memory (PROM, EPROM, EEPROM);
flash memory and solid state or hybrid data storage devices;
read-only memory; and
faulty magnetic media that cannot be successfully sanitised.
 "
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Volatile media sanitisation",13.4.11.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Volatile media sanitisation",13.4.11.C.01.,"All Classifications",Must,4181,"Agencies MUST sanitise volatile media by:

overwriting all locations of the media with an arbitrary pattern;
followed by a read back for verification; and
removing power from the media for at least 10 minutes."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of volatile media following sanitisation",13.4.12.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of volatile media following sanitisation",13.4.12.C.01.,"All Classifications",Must,4184,"Following sanitisation, volatile media MUST be treated as indicated in the table below.

Pre-sanitisation classification / Endorsement

Post-sanitisation classification / Endorsement

New Zealand Eyes Only (NZEO) Endorsement

NZEO

TOP SECRET

TOP SECRET

SECRET

SECRET

CONFIDENTIAL
UNCLASSIFIED

RESTRICTED and all lower classifications

UNCLASSIFIED"
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.R.03.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.C.01.,"All Classifications",Must,4189,"Agencies MUST sanitise non-volatile magnetic media by:

if pre-2001 or under 15GB: overwriting the media at least three times in its entirety with an arbitrary pattern followed by a read back for verification; or
if post-2001 or over 15GB: overwriting the media at least once in its entirety with an arbitrary pattern followed by a read back for verification."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.C.02.,"All Classifications",Must,4190,"Agencies MUST boot from separate media to the media being sanitised when undertaking sanitisation."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.C.03.,"All Classifications",Should,4191,"Agencies SHOULD reset the host protected area and drive configuration overlay table of non-volatile magnetic hard disks prior to overwriting the media."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.C.04.,"All Classifications",Should,4192,"Agencies SHOULD attempt to overwrite the growth defects table (g-list) on non-volatile magnetic hard disks."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile magnetic media sanitisation",13.4.13.C.05.,"All Classifications",Should,4193,"Agencies SHOULD use the ATA security erase command for sanitising non-volatile magnetic hard disks instead of using block overwriting software."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile magnetic media following sanitisation",13.4.14.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile magnetic media following sanitisation",13.4.14.C.01.,"All Classifications",Must,4200,"Following sanitisation, non-volatile magnetic media MUST be treated as indicated in the table below.

Pre-sanitisation classification

Post-sanitisation classification

New Zealand Eyes Only (NZEO) Endorsement

NZEO

TOP SECRET

TOP SECRET

SECRET

SECRET

CONFIDENTIAL
UNCLASSIFIED

RESTRICTED

UNCLASSIFIED"
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile EPROM media sanitisation",13.4.15.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile EPROM media sanitisation",13.4.15.C.01.,"All Classifications",Must,4205,"Agencies MUST sanitise non-volatile EPROM media by erasing as per the manufacturer’s specification, increasing the specified ultraviolet erasure time by a factor of three, then overwriting the media at least once in its entirety with a pseudo random pattern, followed by a read back for verification."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile EEPROM media sanitisation",13.4.16.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile EEPROM media sanitisation",13.4.16.C.01.,"All Classifications",Must,4208,"Agencies MUST sanitise non-volatile EEPROM media by overwriting the media at least once in its entirety with a pseudo random pattern, followed by a read back for verification."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile EPROM and EEPROM media following sanitisation",13.4.17.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile EPROM and EEPROM media following sanitisation",13.4.17.C.01.,"All Classifications",Must,4212,"Following sanitisation, non-volatile EPROM and EEPROM media MUST be treated as indicated in the table below.

Pre-sanitisation classification

Post-sanitisation classification

New Zealand Eyes Only (NZEO) Endorsement

NZEO

TOP SECRET

TOP SECRET

SECRET
SECRET

CONFIDENTIAL
UNCLASSIFIED

RESTRICTED
UNCLASSIFIED"
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile flash memory & FPGA  media sanitisation",13.4.18.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Non-volatile flash memory & FPGA  media sanitisation",13.4.18.C.01.,"All Classifications",Must,4215,"Agencies MUST sanitise non-volatile flash memory media by overwriting the media at least twice in its entirety with a pseudo random pattern, followed by a read back for verification."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile flash memory & FPCA media following sanitisation",13.4.19.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile flash memory & FPCA media following sanitisation",13.4.19.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile flash memory & FPCA media following sanitisation",13.4.19.C.01.,"All Classifications",Must,4218,"Following sanitisation, non-volatile flash memory media MUST be treated as indicated in the table below.

Pre-sanitisation classification

Post-sanitisation classification

New Zealand Eyes Only (NZEO) Endorsement

NZEO

TOP SECRET

TOP SECRET

SECRET
SECRET

CONFIDENTIAL
CONFIDENTIAL

RESTRICTED
UNCLASSIFIED"
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Treatment of non-volatile flash memory & FPCA media following sanitisation",13.4.19.C.02.,"All Classifications",Must,5426,"Where manufacturer sanitation procedures cannot be determined, items MUST be destroyed."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising solid state drives",13.4.20.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising solid state drives",13.4.20.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising solid state drives",13.4.20.C.01.,"All Classifications",Must,4222,"Solid state drives MUST be destroyed before disposal."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising solid state drives",13.4.20.C.02.,"All Classifications",Must,4223,"Solid state drives MUST be sanitised using ATA Secure Erase sanitation software before redeployment."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising solid state drives",13.4.20.C.03.,"Secret, Confidential, Top Secret","Must Not",4224,"Solid state drives MUST NOT be redeployed in a lower classification environment."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Hybrid Drives",13.4.21.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Hybrid Drives",13.4.21.C.01.,"All Classifications",Must,4227,"Hybrid drives MUST be treated as solid state drives for sanitisation purposes."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising media and IT Equipment  prior to reuse",13.4.22.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Sanitising media and IT Equipment  prior to reuse",13.4.22.C.01.,"All Classifications",Should,4230,"Agencies SHOULD sanitise all media and IT Equipment prior to reuse at the same or higher classification."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Verifying sanitised media and IT Equipment ",13.4.23.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.4. Media and IT Equipment Sanitisation","Rationale & Controls","Verifying sanitised media and IT Equipment ",13.4.23.C.01.,"All Classifications",Should,4234,"Agencies SHOULD verify the sanitisation of media and IT Equipment using a different product from the one used to perform the initial sanitisation."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Objective,,13.5.1.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Scope,13.5.2.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Scope,13.5.3.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Evolution of electronic components and equipment",13.5.4.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Evolution of electronic components and equipment",13.5.5.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Electronic Waste (Waste Electrical and Electronic Equipment (WEEE))",13.5.6.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Electronic Waste (Waste Electrical and Electronic Equipment (WEEE))",13.5.7.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Electronic Waste (Waste Electrical and Electronic Equipment (WEEE))",13.5.8.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Electronic Waste (Waste Electrical and Electronic Equipment (WEEE))",13.5.9.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"Electronic Waste (Waste Electrical and Electronic Equipment (WEEE))",13.5.10.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Incinerators,13.5.11.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Incinerators,13.5.12.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Incinerators,13.5.13.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Incinerators,13.5.14.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Incinerators,13.5.15.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Destruction,13.5.16.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Destruction,13.5.17.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,Destruction,13.5.18.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"New Zealand Eyes Only (NZEO) Materials",13.5.19.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",Context,"New Zealand Eyes Only (NZEO) Materials",13.5.20.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction",References,,13.5.21.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction procedures",13.5.22.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction procedures",13.5.22.C.01.,"All Classifications",Must,4270,"Agencies MUST document procedures for the destruction of media and IT Equipment."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Media and IT Equipment destruction",13.5.23.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Media and IT Equipment destruction",13.5.23.C.01.,"All Classifications",Must,4276,"To destroy media and IT Equipment agencies MUST use at least one of the methods shown in the following table.

Item

Destruction methods

Furnace/ Incinerator

Hammer mill

Disintegrator

Grinder/ Sander

Cutting

Degausser

Magnetic floppy disks
 Yes
 Yes
 Yes
 No
 Yes
 Yes

Magnetic hard disks
 Yes
 Yes
 Yes
 Yes
 No
 Yes

Magnetic tapes
 Yes
 Yes
 Yes
 No
 Yes
 Yes

Optical disks
 Yes
 Yes
 Yes
 Yes
 Yes
 No

Electrostatic memory devices 
 Yes
Yes 
 Yes
 Yes
 No
 No

Semi-conductor memory
 Yes
 Yes
 Yes
 No
 No
 No

Other Circuit Boards
 Yes
 Yes
 Yes
 No
 No
 No"
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.R.03.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.R.04.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.R.05.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.C.01.,"All Classifications",Must,4302,"Media and IT equipment destruction MUST be performed using approved destruction equipment, facilities and methods."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.C.02.,"All Classifications",Must,4304,"Where agencies do not own their own destruction equipment, agencies MUST use an approved destruction facility for media and IT equipment destruction."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.C.03.,"All Classifications",Must,7165,"Where a facility is NOT an approved facility, agencies MUST ensure any incineration equipment is rated for the destruction of electronic waste (WEEE) and the operator is properly authorised or licensed."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Destruction methods for media and IT equipment",13.5.24.C.04.,"All Classifications",Must,7166,"Where a facility is NOT an approved facility, agencies MUST ensure processes are in place for the safe handling of electronic waste (WEEE), including any residual material from the destruction process."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Storage and handling of media and IT Equipment waste particles",13.5.25.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Storage and handling of media and IT Equipment waste particles",13.5.25.C.01.,"All Classifications",Must,4343,"Agencies MUST, at minimum, store and handle the resulting waste for all methods, in accordance with the classification given in the table below.

Initial media or IT Equipment classification

Screen aperture size particles can pass through

Less than or equal to 3mm

Treat as

Less than or equal to 6mm

Treat as

 TOP SECRET

UNCLASSIFIED

RESTRICTED

SECRET

UNCLASSIFIED

RESTRICTED

CONFIDENTIAL

UNCLASSIFIED

RESTRICTED

RESTRICTED

UNCLASSIFIED

UNCLASSIFIED

Particle size: measured in any direction, should not exceed stated measurement."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls",Degaussers,13.5.26.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls",Degaussers,13.5.26.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls",Degaussers,13.5.26.R.03.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls",Degaussers,13.5.26.C.01.,"All Classifications",Must,4349,"Agencies MUST use a degausser of sufficient field strength for the coercivity of the media and IT Equipment."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls",Degaussers,13.5.26.C.02.,"All Classifications",Must,4350,"Agencies MUST use a degausser which has been evaluated as capable for the magnetic orientation (longitudinal or perpendicular) of the media."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls",Degaussers,13.5.26.C.03.,"All Classifications",Must,4352,"Agencies MUST comply with product specific directions provided by the manufacturers, along with any provided by the GCSB."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of destruction",13.5.27.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of destruction",13.5.27.C.01.,"All Classifications",Must,4357,"Agencies MUST perform the destruction of media and IT Equipment under the supervision of at least one person cleared to the highest classification of the media or IT Equipment being destroyed."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of destruction",13.5.27.C.02.,"All Classifications",Must,4358,"Personnel supervising the destruction of media or IT Equipment MUST:

supervise the handling of the media or IT Equipment to the point of destruction; and
ensure that the destruction is completed successfully."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of destruction",13.5.27.C.03.,"All Classifications",Should,4359,"The Destruction Register SHOULD record:

Destruction facility used;
Destruction method used;
Date of destruction;
Operator and witnesses;
Media and IT equipment classification; and
Media and IT equipment type, characteristics and serial number."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of accountable material destruction",13.5.28.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of accountable material destruction",13.5.28.C.01.,"All Classifications",Must,4363,"Agencies MUST perform the destruction of accountable material under the supervision of at least two personnel cleared to the highest classification of the media or IT Equipment being destroyed."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Supervision of accountable material destruction",13.5.28.C.02.,"All Classifications",Must,4364,"Personnel supervising the destruction of accountable media and IT Equipment MUST:

supervise the handling of the material to the point of destruction;
ensure that the destruction is completed successfully; 
sign a destruction certificate; and
complete the relevant entries in the destruction register."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Outsourcing media and IT Equipment destruction",13.5.29.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Outsourcing media and IT Equipment destruction",13.5.29.C.01.,"Top Secret","Must Not",4367,"Agencies MUST NOT outsource the supervision and oversight of the destruction of TOP SECRET or NZEO media and IT equipment or other accountable material to a non-government entity or organisation."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Outsourcing media and IT Equipment destruction",13.5.29.C.02.,"All Classifications",Must,4368,"Agencies outsourcing the destruction of media and IT Equipment to a commercial facility MUST use an approved facility and comply with the procedures and instructions in this Chapter."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Transporting media and IT Equipment for offsite destruction",13.5.30.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.5. Media and IT Equipment Destruction","Rationale & Controls","Transporting media and IT Equipment for offsite destruction",13.5.30.C.01.,"All Classifications",Should,4371,"Agencies SHOULD sanitise media and IT Equipment prior to transporting it to an offsite location for destruction."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal",Objective,,13.6.1.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal",Context,Scope,13.6.2.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal",Context,Scope,13.6.3.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal",Context,Scope,13.6.4.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal",Context,Scope,13.6.5.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Declassification prior to disposal",13.6.6.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Declassification prior to disposal",13.6.6.C.01.,"All Classifications",Must,4385,"Agencies MUST declassify all media and IT equipment prior to disposing of it into the public domain."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Declassification prior to disposal",13.6.6.C.02.,"All Classifications",Must,4386,"Media and IT equipment that cannot be effectively sanitised or declassified MUST be destroyed and not released into the public domain."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Disposal procedures",13.6.7.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Disposal procedures",13.6.7.C.01.,"All Classifications",Must,4389,"Agencies MUST document procedures for the disposal of media and IT equipment."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Declassifying media",13.6.8.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Declassifying media",13.6.8.C.01.,"All Classifications",Must,4392,"Agencies declassifying media MUST ensure that:

the reclassification of all classified information on the media has been approved by the originator, or the media has been appropriately sanitised or destroyed; and
formal approval is granted before the media is released into the public domain."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Disposal of media",13.6.9.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Disposal of media",13.6.9.C.01.,"All Classifications",Must,4395,"Agencies MUST dispose of media in a manner that does not draw undue attention to its previous classification."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","New Zealand Eyes Only (NZEO) Materials",13.6.10.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","New Zealand Eyes Only (NZEO) Materials",13.6.10.C.01.,"All Classifications",Must,4398,"Media and IT equipment that has contained NZEO material MUST be sanitised and redeployed or sanitised and destroyed in accordance with the procedures in this chapter."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","New Zealand Eyes Only (NZEO) Materials",13.6.10.C.02.,"All Classifications",Must,4399,"For disposal of all NZEO endorsed materials, an approved destruction facility MUST be used."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","New Zealand Eyes Only (NZEO) Materials",13.6.10.C.03.,"All Classifications","Must Not",4400,"Media and IT equipment that has contained NZEO material MUST NOT be disposed of via e-recyclers or sold to any third party."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.R.03.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.R.04.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.R.05.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.R.06.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Approved Secure Destruction Facilities",13.6.11.C.01.,"All Classifications",Must,5711,"Where agencies establish their own disposal/destruction facilities, these facilities MUST be approved by the Director-General GCSB."
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Use of Approved Secure Destruction Facilities",13.6.12.R.01.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Use of Approved Secure Destruction Facilities",13.6.12.R.02.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Use of Approved Secure Destruction Facilities",13.6.12.R.03.,,,,
"13. Media and IT Equipment Management, Decommissioning and Disposal","13.6. Media and IT Equipment Disposal","Rationale & Controls","Use of Approved Secure Destruction Facilities",13.6.12.C.01.,"All Classifications",Must,5716," Agencies MUST use an approved secure disposal/destruction facility for the destruction of media and IT equipment."
"14. Software security","14.1. Standard Operating Environments",Objective,,14.1.1.,,,,
